"","X1","K_beta","Mean_C1","Mean_C2","N","N_C1","N_C2","N_Tail","pi_C1","pi_C2","pi_Tail","rcc_C1","rcc_C2","rcc_Tail","Scale_Tail","Shape_Tail","tail","Variance_C1","Variance_C2","coverage","K_B","K_BB","karyotype","sample","samplename","Mean_C3","N_C3","pi_C3","rcc_C3","Variance_C3","Mean_Tail","Variance_Tail","purity","ploidy","purity_conf_mad","wgd_status","wgd_uncertain"
"3693",3693,1,0.131481135996383,NA,7813,7813,NA,0,1,NA,0,TRUE,NA,TRUE,NA,NA,FALSE,0.00181732926736744,NA,42,1,0,"1:1","712e5f3c-c623-11e3-bf01-24c6515278c0","712e5f3c-c623-11e3-bf01-24c6515278c0",NA,NA,NA,NA,NA,NA,NA,0.253,1.997,0.009,"no_wgd",FALSE
"3694",3694,1,0.139595147366698,NA,681,681,NA,0,1,NA,0,TRUE,NA,TRUE,NA,NA,FALSE,0.00252130685195624,NA,46,1,0,"2:1","712e5f3c-c623-11e3-bf01-24c6515278c0","712e5f3c-c623-11e3-bf01-24c6515278c0",NA,NA,NA,NA,NA,NA,NA,0.253,1.997,0.009,"no_wgd",FALSE
"3695",3695,1,0.220277288135593,NA,295,295,NA,0,1,NA,0,TRUE,NA,TRUE,NA,NA,FALSE,0.00947175273840851,NA,44,2,0,"2:0","712e5f3c-c623-11e3-bf01-24c6515278c0","712e5f3c-c623-11e3-bf01-24c6515278c0",NA,NA,NA,NA,NA,NA,NA,0.253,1.997,0.009,"no_wgd",FALSE
"3696",3696,1,0.312739565217391,NA,230,230,NA,0,1,NA,0,TRUE,NA,TRUE,NA,NA,FALSE,0.0160954234345936,NA,33,2,0,"1:0","7158c9fd-a633-4fef-aa23-bd285f2a87a8","7158c9fd-a633-4fef-aa23-bd285f2a87a8",NA,NA,NA,NA,NA,NA,NA,0.38,2.11,0,"no_wgd",FALSE
"3697",3697,1,0.187344790584977,NA,2889,2889,NA,0,1,NA,0,TRUE,NA,TRUE,NA,NA,FALSE,0.00317666027833102,NA,57,1,0,"1:1","7158c9fd-a633-4fef-aa23-bd285f2a87a8","7158c9fd-a633-4fef-aa23-bd285f2a87a8",NA,NA,NA,NA,NA,NA,NA,0.38,2.11,0,"no_wgd",FALSE
"3698",3698,1,0.235462844702468,NA,689,689,NA,0,1,NA,0,TRUE,NA,TRUE,NA,NA,FALSE,0.00970619034662464,NA,70,2,0,"2:1","7158c9fd-a633-4fef-aa23-bd285f2a87a8","7158c9fd-a633-4fef-aa23-bd285f2a87a8",NA,NA,NA,NA,NA,NA,NA,0.38,2.11,0,"no_wgd",FALSE
"3699",3699,1,0.209859016087716,NA,62,62,NA,0,1,NA,0,TRUE,NA,TRUE,NA,NA,FALSE,0.0070204847457607,NA,57.5,2,0,"2:0","7158c9fd-a633-4fef-aa23-bd285f2a87a8","7158c9fd-a633-4fef-aa23-bd285f2a87a8",NA,NA,NA,NA,NA,NA,NA,0.38,2.11,0,"no_wgd",FALSE
"3700",3700,2,0.869357127715847,0.27497953501839,556,396,160,0,0.707812470364677,0.292187529635323,0,TRUE,FALSE,FALSE,NA,NA,FALSE,0.00455730544426216,0.0353384714656252,42,3,0,"1:0","715f59dd-a80f-422d-988c-f73f4b987baf","715f59dd-a80f-422d-988c-f73f4b987baf",NA,NA,NA,NA,NA,NA,NA,0.936,1.587,0.016,"no_wgd",FALSE
"3701",3701,1,0.459815816976139,NA,1287,1080,NA,207,0.826324235588919,NA,0.173675764411081,TRUE,NA,TRUE,0.050599999,0.92373255887106,TRUE,0.00388752430279726,NA,78,1,0,"1:1","715f59dd-a80f-422d-988c-f73f4b987baf","715f59dd-a80f-422d-988c-f73f4b987baf",NA,NA,NA,NA,NA,Inf,Inf,0.936,1.587,0.016,"no_wgd",FALSE
"3702",3702,1,0.36316,NA,25,25,NA,0,1,NA,0,TRUE,NA,TRUE,NA,NA,FALSE,0.0187352072,NA,108,2,0,"2:1","715f59dd-a80f-422d-988c-f73f4b987baf","715f59dd-a80f-422d-988c-f73f4b987baf",NA,NA,NA,NA,NA,NA,NA,0.936,1.587,0.016,"no_wgd",FALSE
"3703",3703,3,0.920677260132433,0.492036549077516,84,22,33,13,0.258815714916928,0.326849343582996,0.173790195741114,TRUE,FALSE,FALSE,0.050499999,1.04331566971289,TRUE,0.00205801582866661,0.00159779644869507,83.5,2,0,"2:0","715f59dd-a80f-422d-988c-f73f4b987baf","715f59dd-a80f-422d-988c-f73f4b987baf",0.420152545722746,16,0.240544745758962,TRUE,0.00322425079502083,1.2163598214321,Inf,0.936,1.587,0.016,"no_wgd",FALSE
"3704",3704,2,0.751617747302218,0.306788273553165,905,873,32,0,0.968891589341923,0.0311084106580773,0,FALSE,FALSE,FALSE,NA,NA,FALSE,0.0127812924521073,0.014357652829362,20,3,0,"1:0","7163a0f7-2c69-40b8-8857-8ab3f46f0acf","7163a0f7-2c69-40b8-8857-8ab3f46f0acf",NA,NA,NA,NA,NA,NA,NA,0.859,1.909,0.013,"no_wgd",FALSE
