K_beta,Mean_C1,Mean_C2,N,N_C1,N_C2,N_Tail,pi_C1,pi_C2,pi_Tail,rcc_C1,rcc_C2,rcc_Tail,Scale_Tail,Shape_Tail,tail,Variance_C1,Variance_C2,score,samplename,karyotype,Mean_C3,N_C3,pi_C3,rcc_C3,Variance_C3,Mean_Tail,Variance_Tail
1,0.37174634954068786,NA,3512,3323,NA,189,0.9336661209016909,NA,0.06633387909830923,TRUE,NA,TRUE,0.051299999,1.0474227301447,TRUE,0.00527438907154914,NA,reICL,0ed63d84-d3fe-4289-9255-35f4a03b703b,1:1,NA,NA,NA,NA,NA,1.133059713033107,Inf
2,0.5313626870867739,0.260481224773843,128,71,57,0,0.5491851913967443,0.4508148086032557,0,TRUE,FALSE,FALSE,NA,NA,FALSE,0.0021637724649957242,0.004499431583269028,reICL,0ed63d84-d3fe-4289-9255-35f4a03b703b,2:1,NA,NA,NA,NA,NA,NA,NA
1,0.42423418705140825,NA,255,216,NA,39,0.8319849079785965,NA,0.16801509202140358,TRUE,NA,TRUE,0.056799999000000004,1.1150158715485214,TRUE,0.0026289384050890937,NA,reICL,0ed63d84-d3fe-4289-9255-35f4a03b703b,2:2,NA,NA,NA,NA,NA,0.5506448765396876,Inf
1,0.4090596574690783,NA,2102,2102,NA,0,1,NA,0,TRUE,NA,TRUE,NA,NA,FALSE,0.04139243116030139,NA,reICL,0eeafcd6-c623-11e3-bf01-24c6515278c0,1:0,NA,NA,NA,NA,NA,NA,NA
1,0.319374246100996,NA,14374,12805,NA,1569,0.8724978347437112,NA,0.12750216525628877,TRUE,NA,TRUE,0.050999999,1.1106672715629131,TRUE,0.00828436021019575,NA,reICL,0eeafcd6-c623-11e3-bf01-24c6515278c0,1:1,NA,NA,NA,NA,NA,0.5118408445340571,Inf
1,0.3133034875922203,NA,1491,1491,NA,0,1,NA,0,TRUE,NA,TRUE,NA,NA,FALSE,0.02114589835135105,NA,reICL,0eeafcd6-c623-11e3-bf01-24c6515278c0,2:1,NA,NA,NA,NA,NA,NA,NA
2,0.6362678444534907,0.13858831454287882,184,138,46,0,0.7506713220485752,0.24932867795142483,0,FALSE,FALSE,FALSE,NA,NA,FALSE,0.012385942330613693,0.0018261038311411066,reICL,0eeafcd6-c623-11e3-bf01-24c6515278c0,2:0,NA,NA,NA,NA,NA,NA,NA
2,0.40475948792219585,0.17018255166725627,828,408,315,105,0.4723205831053134,0.3592931577906169,0.1683862591040697,TRUE,TRUE,FALSE,0.051299999,1.7463273685591039,TRUE,0.004890482925027205,0.0031895091524745227,reICL,0eeafcd6-c623-11e3-bf01-24c6515278c0,2:2,NA,NA,NA,NA,NA,0.12003658988643941,Inf
1,0.2844907889744373,NA,230,230,NA,0,1,NA,0,TRUE,NA,TRUE,NA,NA,FALSE,0.018035324650500697,NA,reICL,0ef92ff8-829f-425a-91d8-c594b6e22a2b,1:0,NA,NA,NA,NA,NA,NA,NA
1,0.17910842193412813,NA,707,707,NA,0,1,NA,0,TRUE,NA,TRUE,NA,NA,FALSE,0.006014369672188784,NA,reICL,0ef92ff8-829f-425a-91d8-c594b6e22a2b,1:1,NA,NA,NA,NA,NA,NA,NA
2,0.3406242195287897,0.12567157548774377,3181,939,2106,136,0.29727235268539826,0.5872730987585222,0.11545454855607962,TRUE,TRUE,FALSE,0.050399999,1.7971576953960782,TRUE,0.0069151385547939585,0.0019382693494892067,reICL,0ef92ff8-829f-425a-91d8-c594b6e22a2b,2:1,NA,NA,NA,NA,NA,0.11362462731517685,Inf
1,0.29381370152873465,NA,4038,3700,NA,338,0.8522613282228297,NA,0.14773867177717026,TRUE,NA,TRUE,0.050799999,1.2920210733297464,TRUE,0.02321095879380819,NA,reICL,0ef92ff8-829f-425a-91d8-c594b6e22a2b,2:0,NA,NA,NA,NA,NA,0.22476004380346973,Inf
1,0.21296496625806569,NA,1913,1410,NA,503,0.6966623705285422,NA,0.30333762947145776,TRUE,NA,TRUE,0.050599999,1.7626007830427755,TRUE,0.008300685472216497,NA,reICL,0ef92ff8-829f-425a-91d8-c594b6e22a2b,2:2,NA,NA,NA,NA,NA,0.11695188340025739,Inf
1,0.0914529411764706,NA,51,51,NA,0,1,NA,0,TRUE,NA,TRUE,NA,NA,FALSE,9.88784452133795e-4,NA,reICL,0efb6e20-236d-4640-9373-6fc03e67d090,1:1,NA,NA,NA,NA,NA,NA,NA
2,0.7972148762458834,0.13708282230615818,895,617,278,0,0.6863363074509801,0.3136636925490199,0,FALSE,TRUE,FALSE,NA,NA,FALSE,0.016171716236380036,0.004007327818141155,reICL,0efee3f3-313b-44eb-b3b0-af975a1ded82,1:0,NA,NA,NA,NA,NA,NA,NA
1,0.43810634269712057,NA,3049,2337,NA,712,0.7444841574813185,NA,0.25551584251868154,TRUE,NA,TRUE,0.050399999,1.2701267299095953,TRUE,0.007097277170260953,NA,reICL,0efee3f3-313b-44eb-b3b0-af975a1ded82,1:1,NA,NA,NA,NA,NA,0.23697908732964298,Inf
2,0.5880743963604966,0.2950131133704537,295,38,190,67,0.12659390043610474,0.6171257920412064,0.25628030752268877,TRUE,FALSE,FALSE,0.052099999,1.458037843349183,TRUE,0.011701134239060624,0.0032481101056767176,reICL,0efee3f3-313b-44eb-b3b0-af975a1ded82,2:1,NA,NA,NA,NA,NA,0.16584605679086648,Inf
2,0.919645276540223,0.42043752609021157,389,57,233,99,0.14501417103106592,0.5756630654548037,0.2793227635141304,TRUE,FALSE,FALSE,0.051899999,1.46837121377449,TRUE,0.0016709936329630938,0.006968616733958667,reICL,0efee3f3-313b-44eb-b3b0-af975a1ded82,2:0,NA,NA,NA,NA,NA,0.16270953953890396,Inf
2,0.7967326887682923,0.3617931140181256,101,90,11,0,0.8756603982246683,0.12433960177533171,0,FALSE,FALSE,FALSE,NA,NA,FALSE,0.005709668309498938,0.04191514256703772,reICL,0f53e757-1823-409f-a0ea-249270728e15,1:0,NA,NA,NA,NA,NA,NA,NA
1,0.4062924686838827,NA,3393,3159,NA,234,0.9220019499649962,NA,0.0779980500350038,TRUE,NA,TRUE,0.051899999,1.0952245975166581,TRUE,0.0045952615769366606,NA,reICL,0f53e757-1823-409f-a0ea-249270728e15,1:1,NA,NA,NA,NA,NA,0.5969272330707018,Inf
2,0.5734860229579397,0.2870482859308783,210,60,131,19,0.2857724646522748,0.6014159632192566,0.11281157212846857,FALSE,TRUE,FALSE,0.057099999,1.5131935926690356,TRUE,0.0026244921423269293,0.003263918816741666,reICL,0f53e757-1823-409f-a0ea-249270728e15,2:1,NA,NA,NA,NA,NA,0.16836405181685665,Inf
2,0.813172065474238,0.20854008866868054,197,155,42,0,0.7892091869769323,0.2107908130230677,0,FALSE,FALSE,FALSE,NA,NA,FALSE,0.002311437721272905,0.01807419941925032,reICL,0f53e757-1823-409f-a0ea-249270728e15,2:0,NA,NA,NA,NA,NA,NA,NA
2,0.4369633453674857,0.19088850090729334,47,16,31,0,0.32386275806019327,0.6761372419398067,0,TRUE,TRUE,FALSE,NA,NA,FALSE,0.001578085076572669,0.005262133663103891,reICL,0f53e757-1823-409f-a0ea-249270728e15,2:2,NA,NA,NA,NA,NA,NA,NA
1,0.2142340425531915,NA,47,47,NA,0,1,NA,0,TRUE,NA,TRUE,NA,NA,FALSE,0.00517616650067904,NA,reICL,0f6b355e-3898-4be6-be97-da0c3840a4ed,1:1,NA,NA,NA,NA,NA,NA,NA
1,0.26692113899613873,NA,1036,1036,NA,0,1,NA,0,TRUE,NA,TRUE,NA,NA,FALSE,0.012106734775150585,NA,reICL,0f6b355e-3898-4be6-be97-da0c3840a4ed,2:1,NA,NA,NA,NA,NA,NA,NA
1,0.44454351350410426,NA,189,166,NA,23,0.8599565546565718,NA,0.14004344534342816,TRUE,NA,TRUE,0.058799999,1.013290985544394,TRUE,0.005784576070435499,NA,reICL,0f6b355e-3898-4be6-be97-da0c3840a4ed,2:0,NA,NA,NA,NA,NA,4.482851082615969,Inf
1,0.3053329257596122,NA,893,833,NA,60,0.9207987273285358,NA,0.07920127267146418,TRUE,NA,TRUE,0.051899999,1.373123314714186,TRUE,0.003995420592966213,NA,reICL,0f6b355e-3898-4be6-be97-da0c3840a4ed,2:2,NA,NA,NA,NA,NA,0.1909961019593008,Inf
